2020 DK2,2025 DK2,2030 DK2,2035 DK2,2040 DK2,DATETIME
211.00,280,290,290,330,1/1/2019 1:00
75.20,340,290,290,310,1/1/2019 2:00
-30.47,280,290,300,280,1/1/2019 3:00
-74.00,280,290,290,280,1/1/2019 4:00
-55.33,280,290,280,280,1/1/2019 5:00
-93.72,270,270,110,110,1/1/2019 6:00
-128.81,270,220,110,110,1/1/2019 7:00
-112.54,280,270,250,110,1/1/2019 8:00
-36.81,280,270,190,290,1/1/2019 9:00
-47.27,280,270,290,300,1/1/2019 10:00
-36.81,280,290,290,300,1/1/2019 11:00
3.36,280,290,290,350,1/1/2019 12:00
0.90,280,290,300,430,1/1/2019 13:00
-0.15,280,290,300,440,1/1/2019 14:00
0.00,290,290,300,440,1/1/2019 15:00
-0.22,300,300,320,440,1/1/2019 16:00
14.71,340,300,330,440,1/1/2019 17:00
67.66,340,300,320,440,1/1/2019 18:00
0.52,300,300,310,330,1/1/2019 19:00
-37.11,290,290,290,330,1/1/2019 20:00
-52.12,280,290,290,300,1/1/2019 21:00
-119.55,290,300,300,300,1/1/2019 22:00
-36.37,280,290,290,300,1/1/2019 23:00
-216.03,280,280,290,300,1/1/2019 0:00
-250.65,270,270,290,290,1/2/2019 1:00
-342.87,270,270,290,290,1/2/2019 2:00
-360.56,270,270,290,290,1/2/2019 3:00
-250.88,260,110,110,290,1/2/2019 4:00
-250.43,270,110,110,130,1/2/2019 5:00
-132.83,270,110,110,230,1/2/2019 6:00
-0.07,280,150,110,300,1/2/2019 7:00
279.47,280,280,290,300,1/2/2019 8:00
358.84,330,300,290,290,1/2/2019 9:00
378.86,350,300,300,290,1/2/2019 10:00
359.22,350,300,300,290,1/2/2019 11:00
363.32,350,300,300,290,1/2/2019 12:00
372.88,360,300,300,300,1/2/2019 13:00
352.87,360,300,300,300,1/2/2019 14:00
380.27,360,300,300,300,1/2/2019 15:00
391.10,370,320,320,310,1/2/2019 16:00
418.20,390,380,400,330,1/2/2019 17:00
425.22,410,370,400,330,1/2/2019 18:00
413.57,410,370,400,520,1/2/2019 19:00
409.92,410,370,400,510,1/2/2019 20:00
402.15,390,370,400,430,1/2/2019 21:00
393.56,390,370,330,440,1/2/2019 22:00
388.94,360,370,330,330,1/2/2019 23:00
379.00,340,330,300,300,1/2/2019 0:00
320.35,340,300,320,330,1/3/2019 1:00
337.59,290,300,320,400,1/3/2019 2:00
360.66,290,300,320,330,1/3/2019 3:00
361.34,290,290,300,300,1/3/2019 4:00
364.25,290,290,300,300,1/3/2019 5:00
342.82,290,290,290,290,1/3/2019 6:00
381.27,300,290,290,290,1/3/2019 7:00
402.47,340,300,300,300,1/3/2019 8:00
461.08,340,300,300,300,1/3/2019 9:00
448.16,340,290,300,290,1/3/2019 10:00
434.42,340,290,280,300,1/3/2019 11:00
458.91,340,290,280,230,1/3/2019 12:00
462.87,340,290,280,290,1/3/2019 13:00
471.23,300,280,280,160,1/3/2019 14:00
475.33,300,280,280,110,1/3/2019 15:00
493.70,300,280,280,290,1/3/2019 16:00
510.72,340,290,280,290,1/3/2019 17:00
519.23,350,300,300,110,1/3/2019 18:00
490.27,340,300,300,280,1/3/2019 19:00
459.21,330,290,300,110,1/3/2019 20:00
430.02,280,290,260,120,1/3/2019 21:00
406.43,300,290,290,120,1/3/2019 22:00
388.88,280,290,260,110,1/3/2019 23:00
373.13,280,270,260,110,1/3/2019 0:00
372.38,270,270,110,80,1/4/2019 1:00
358.20,260,270,110,80,1/4/2019 2:00
351.48,250,220,110,80,1/4/2019 3:00
350.51,250,270,110,110,1/4/2019 4:00
350.95,250,270,110,110,1/4/2019 5:00
350.28,250,270,110,110,1/4/2019 6:00
379.85,270,290,250,110,1/4/2019 7:00
403.15,280,290,290,280,1/4/2019 8:00
406.51,340,290,290,280,1/4/2019 9:00
404.57,350,300,300,300,1/4/2019 10:00
402.48,350,310,300,300,1/4/2019 11:00
395.83,370,370,300,300,1/4/2019 12:00
386.35,390,380,330,310,1/4/2019 13:00
385.30,410,380,400,310,1/4/2019 14:00
383.88,410,410,420,330,1/4/2019 15:00
385.97,410,420,420,510,1/4/2019 16:00
392.69,410,440,470,520,1/4/2019 17:00
398.30,410,370,470,520,1/4/2019 18:00
394.34,410,370,440,530,1/4/2019 19:00
386.72,410,370,440,530,1/4/2019 20:00
381.12,400,370,400,520,1/4/2019 21:00
339.23,370,320,330,330,1/4/2019 22:00
328.25,340,300,300,300,1/4/2019 23:00
234.54,340,300,300,300,1/4/2019 0:00
200.88,340,300,320,330,1/5/2019 1:00
187.59,340,300,310,300,1/5/2019 2:00
180.12,340,300,300,300,1/5/2019 3:00
164.59,340,300,300,300,1/5/2019 4:00
137.18,340,300,300,300,1/5/2019 5:00
164.96,340,300,300,300,1/5/2019 6:00
174.37,340,300,320,310,1/5/2019 7:00
360.10,350,320,330,380,1/5/2019 8:00
373.32,360,370,400,440,1/5/2019 9:00
378.84,360,370,400,460,1/5/2019 10:00
380.34,390,390,400,460,1/5/2019 11:00
381.01,400,390,420,460,1/5/2019 12:00
383.55,390,390,420,540,1/5/2019 13:00
386.38,390,390,400,540,1/5/2019 14:00
387.73,390,390,400,540,1/5/2019 15:00
397.44,390,390,420,530,1/5/2019 16:00
412.67,390,390,420,530,1/5/2019 17:00
417.23,410,420,420,530,1/5/2019 18:00
449.26,410,380,420,530,1/5/2019 19:00
433.21,400,380,420,520,1/5/2019 20:00
393.93,390,370,400,450,1/5/2019 21:00
387.58,350,320,350,430,1/5/2019 22:00
381.83,340,300,320,430,1/5/2019 23:00
374.96,330,300,300,300,1/5/2019 0:00
375.52,290,290,290,300,1/6/2019 1:00
366.11,280,290,290,290,1/6/2019 2:00
364.46,280,280,290,300,1/6/2019 3:00
363.34,280,280,280,300,1/6/2019 4:00
357.07,280,280,280,270,1/6/2019 5:00
363.79,270,110,230,300,1/6/2019 6:00
368.72,280,280,260,300,1/6/2019 7:00
370.74,290,290,290,300,1/6/2019 8:00
376.64,330,290,290,300,1/6/2019 9:00
398.74,300,290,290,420,1/6/2019 10:00
390.90,290,290,320,330,1/6/2019 11:00
394.03,300,290,320,380,1/6/2019 12:00
394.71,300,290,320,420,1/6/2019 13:00
391.57,330,290,320,420,1/6/2019 14:00
384.70,340,300,300,410,1/6/2019 15:00
385.07,340,300,360,440,1/6/2019 16:00
398.74,350,300,360,450,1/6/2019 17:00
462.28,390,320,330,430,1/6/2019 18:00
458.18,390,320,300,300,1/6/2019 19:00
437.34,390,320,300,300,1/6/2019 20:00
387.91,350,300,300,290,1/6/2019 21:00
385.07,350,310,300,290,1/6/2019 22:00
378.65,340,290,290,290,1/6/2019 23:00
375.07,280,290,290,290,1/6/2019 0:00
363.05,280,290,290,240,1/7/2019 1:00
358.27,270,290,280,270,1/7/2019 2:00
357.22,270,280,110,270,1/7/2019 3:00
350.65,270,280,110,260,1/7/2019 4:00
359.09,270,280,110,270,1/7/2019 5:00
372.38,280,280,110,270,1/7/2019 6:00
399.56,300,290,290,300,1/7/2019 7:00
500.06,350,320,320,300,1/7/2019 8:00
543.97,390,370,330,310,1/7/2019 9:00
546.06,370,320,320,300,1/7/2019 10:00
540.01,350,300,290,300,1/7/2019 11:00
519.11,350,290,290,330,1/7/2019 12:00
501.26,340,280,270,330,1/7/2019 13:00
486.48,350,290,290,300,1/7/2019 14:00
455.34,350,300,290,300,1/7/2019 15:00
397.62,390,340,300,450,1/7/2019 16:00
397.69,400,300,300,330,1/7/2019 17:00
395.75,360,370,300,300,1/7/2019 18:00
383.21,280,290,300,300,1/7/2019 19:00
380.00,280,290,300,300,1/7/2019 20:00
377.83,280,290,300,300,1/7/2019 21:00
373.57,330,330,290,300,1/7/2019 22:00
157.93,330,290,290,300,1/7/2019 23:00
107.38,280,290,290,290,1/7/2019 0:00
133.96,280,290,290,290,1/8/2019 1:00
156.14,280,290,290,280,1/8/2019 2:00
58.09,280,290,290,280,1/8/2019 3:00
107.00,280,290,290,290,1/8/2019 4:00
138.59,280,290,290,300,1/8/2019 5:00
138.67,280,290,290,290,1/8/2019 6:00
267.40,280,290,290,300,1/8/2019 7:00
327.59,280,300,300,300,1/8/2019 8:00
350.44,410,370,300,310,1/8/2019 9:00
327.66,410,370,400,360,1/8/2019 10:00
327.44,410,370,360,310,1/8/2019 11:00
349.02,390,320,300,300,1/8/2019 12:00
328.11,370,300,300,300,1/8/2019 13:00
322.66,390,320,320,300,1/8/2019 14:00
327.14,410,370,400,430,1/8/2019 15:00
340.50,410,420,400,510,1/8/2019 16:00
262.92,360,370,300,300,1/8/2019 17:00
340.80,360,290,300,300,1/8/2019 18:00
340.73,330,290,300,300,1/8/2019 19:00
283.31,280,290,290,300,1/8/2019 20:00
295.18,280,290,290,300,1/8/2019 21:00
268.60,280,290,290,300,1/8/2019 22:00
221.93,280,290,290,290,1/8/2019 23:00
168.39,280,290,290,300,1/8/2019 0:00
149.62,340,290,290,300,1/9/2019 1:00
54.06,340,300,300,300,1/9/2019 2:00
25.61,350,300,300,300,1/9/2019 3:00
74.96,350,310,330,300,1/9/2019 4:00
106.02,340,300,300,330,1/9/2019 5:00
189.72,340,300,300,300,1/9/2019 6:00
276.10,360,320,340,430,1/9/2019 7:00
327.69,410,380,420,540,1/9/2019 8:00
380.63,410,370,440,510,1/9/2019 9:00
375.55,410,370,420,540,1/9/2019 10:00
374.88,410,370,360,540,1/9/2019 11:00
341.95,390,320,300,320,1/9/2019 12:00
325.82,370,300,300,300,1/9/2019 13:00
324.71,370,300,300,300,1/9/2019 14:00
336.35,360,300,300,300,1/9/2019 15:00
372.94,390,300,300,300,1/9/2019 16:00
401.83,390,370,330,300,1/9/2019 17:00
417.66,390,330,400,330,1/9/2019 18:00
404.59,350,300,300,300,1/9/2019 19:00
404.59,280,290,300,290,1/9/2019 20:00
395.56,280,290,290,290,1/9/2019 21:00
385.85,340,290,300,290,1/9/2019 22:00
380.48,340,290,290,280,1/9/2019 23:00
373.01,290,290,280,280,1/9/2019 0:00
377.11,280,270,250,110,1/10/2019 1:00
373.15,280,270,250,110,1/10/2019 2:00
369.94,280,280,280,110,1/10/2019 3:00
373.15,280,290,280,280,1/10/2019 4:00
372.85,300,290,290,290,1/10/2019 5:00
371.81,290,290,280,280,1/10/2019 6:00
425.34,350,290,300,300,1/10/2019 7:00
542.03,390,300,300,300,1/10/2019 8:00
606.02,360,290,300,300,1/10/2019 9:00
610.64,360,300,300,300,1/10/2019 10:00
605.87,350,300,320,300,1/10/2019 11:00
597.28,350,300,300,300,1/10/2019 12:00
570.33,350,300,300,300,1/10/2019 13:00
559.95,350,300,320,300,1/10/2019 14:00
567.86,360,320,330,330,1/10/2019 15:00
562.94,390,320,300,330,1/10/2019 16:00
573.24,330,300,330,330,1/10/2019 17:00
623.04,430,320,330,330,1/10/2019 18:00
635.73,420,270,110,160,1/10/2019 19:00
583.54,250,270,110,110,1/10/2019 20:00
536.95,250,270,110,110,1/10/2019 21:00
503.43,280,270,110,110,1/10/2019 22:00
451.62,280,270,110,110,1/10/2019 23:00
377.03,280,280,110,110,1/10/2019 0:00
357.14,280,290,110,110,1/11/2019 1:00
347.73,280,290,250,110,1/11/2019 2:00
341.46,280,290,290,110,1/11/2019 3:00
327.05,280,290,290,110,1/11/2019 4:00
345.19,340,290,290,270,1/11/2019 5:00
346.83,340,290,290,300,1/11/2019 6:00
382.89,350,300,300,300,1/11/2019 7:00
451.87,370,300,300,300,1/11/2019 8:00
448.06,390,370,300,300,1/11/2019 9:00
469.71,400,370,330,300,1/11/2019 10:00
459.71,410,380,420,330,1/11/2019 11:00
452.39,410,380,420,510,1/11/2019 12:00
387.37,410,380,420,510,1/11/2019 13:00
379.23,410,380,420,450,1/11/2019 14:00
339.37,410,380,420,450,1/11/2019 15:00
315.03,410,380,420,510,1/11/2019 16:00
342.88,410,420,450,510,1/11/2019 17:00
384.53,410,380,330,300,1/11/2019 18:00
376.54,390,370,300,300,1/11/2019 19:00
370.57,350,320,300,300,1/11/2019 20:00
365.27,340,300,300,300,1/11/2019 21:00
360.87,340,290,290,280,1/11/2019 22:00
354.90,340,290,290,280,1/11/2019 23:00
336.16,300,290,290,280,1/11/2019 0:00
352.59,290,290,280,280,1/12/2019 1:00
342.43,290,290,280,280,1/12/2019 2:00
332.96,290,290,280,290,1/12/2019 3:00
320.19,290,290,290,290,1/12/2019 4:00
313.70,290,290,290,290,1/12/2019 5:00
313.48,300,290,300,300,1/12/2019 6:00
328.85,340,300,300,300,1/12/2019 7:00
346.24,350,320,320,360,1/12/2019 8:00
358.41,360,370,360,430,1/12/2019 9:00
372.51,360,370,400,380,1/12/2019 10:00
375.42,360,320,320,310,1/12/2019 11:00
375.57,360,300,300,300,1/12/2019 12:00
375.57,360,300,300,300,1/12/2019 13:00
372.81,360,320,320,310,1/12/2019 14:00
373.86,370,380,360,430,1/12/2019 15:00
379.31,410,430,420,510,1/12/2019 16:00
385.87,410,440,470,530,1/12/2019 17:00
395.28,430,470,500,550,1/12/2019 18:00
390.58,430,470,520,560,1/12/2019 19:00
382.37,430,460,520,560,1/12/2019 20:00
373.33,430,470,520,560,1/12/2019 21:00
367.44,420,450,500,550,1/12/2019 22:00
360.42,420,450,500,550,1/12/2019 23:00
352.44,410,440,490,540,1/12/2019 0:00
328.49,410,440,490,530,13-01-2019 01:00:00
328.57,400,380,420,530,13-01-2019 02:00:00
276.39,390,380,420,520,13-01-2019 03:00:00
198.09,370,380,410,520,13-01-2019 04:00:00
173.54,390,390,420,530,13-01-2019 05:00:00
149.35,360,370,400,530,13-01-2019 06:00:00
299.01,410,420,490,550,13-01-2019 07:00:00
342.30,430,440,500,560,13-01-2019 08:00:00
195.78,430,450,500,560,13-01-2019 09:00:00
364.09,430,440,500,560,13-01-2019 10:00:00
369.24,430,440,490,540,13-01-2019 11:00:00
372.08,430,440,490,540,13-01-2019 12:00:00
372.23,430,450,500,540,13-01-2019 13:00:00
368.42,450,460,500,550,13-01-2019 14:00:00
363.72,450,470,510,560,13-01-2019 15:00:00
367.30,460,490,510,590,13-01-2019 16:00:00
374.47,460,490,540,600,13-01-2019 17:00:00
375.36,470,510,550,620,13-01-2019 18:00:00
369.99,470,490,550,620,13-01-2019 19:00:00
362.97,460,390,550,600,13-01-2019 20:00:00
298.63,450,460,520,580,13-01-2019 21:00:00
300.20,460,490,540,590,13-01-2019 22:00:00
22.69,450,490,520,560,13-01-2019 23:00:00
-54.34,430,470,510,560,13-01-2019 00:00:00
-23.44,430,460,500,550,14-01-2019 01:00:00
-69.86,420,450,490,550,14-01-2019 02:00:00
-112.18,410,450,490,540,14-01-2019 03:00:00
-82.78,410,450,490,540,14-01-2019 04:00:00
-36.87,420,450,490,550,14-01-2019 05:00:00
11.87,420,440,490,540,14-01-2019 06:00:00
358.79,450,470,520,560,14-01-2019 07:00:00
382.31,470,510,550,620,14-01-2019 08:00:00
385.59,500,510,570,620,14-01-2019 09:00:00
378.28,500,510,570,620,14-01-2019 10:00:00
377.68,480,510,570,620,14-01-2019 11:00:00
375.22,470,510,550,620,14-01-2019 12:00:00
372.38,470,510,550,600,14-01-2019 13:00:00
372.60,470,510,550,600,14-01-2019 14:00:00
373.50,470,510,550,600,14-01-2019 15:00:00
374.54,470,510,550,620,14-01-2019 16:00:00
380.14,470,510,550,620,14-01-2019 17:00:00
382.53,500,530,570,650,14-01-2019 18:00:00
380.14,500,510,570,650,14-01-2019 19:00:00
377.08,500,510,570,650,14-01-2019 20:00:00
370.29,470,490,550,620,14-01-2019 21:00:00
330.66,470,490,550,620,14-01-2019 22:00:00
308.19,460,490,550,620,14-01-2019 23:00:00
278.11,430,460,510,590,14-01-2019 00:00:00
281.15,430,450,500,560,15-01-2019 01:00:00
273.91,420,440,500,560,15-01-2019 02:00:00
276.60,410,440,490,550,15-01-2019 03:00:00
303.32,410,440,490,550,15-01-2019 04:00:00
330.71,410,440,490,550,15-01-2019 05:00:00
361.68,410,440,480,530,15-01-2019 06:00:00
379.97,430,470,510,560,15-01-2019 07:00:00
401.01,460,490,540,620,15-01-2019 08:00:00
425.57,460,500,550,620,15-01-2019 09:00:00
435.72,460,470,520,590,15-01-2019 10:00:00
421.99,460,470,520,580,15-01-2019 11:00:00
410.49,450,450,490,580,15-01-2019 12:00:00
402.43,450,450,490,580,15-01-2019 13:00:00
397.88,450,450,500,580,15-01-2019 14:00:00
392.80,430,460,500,580,15-01-2019 15:00:00
392.80,450,470,510,580,15-01-2019 16:00:00
402.36,450,470,520,580,15-01-2019 17:00:00
406.76,460,490,520,600,15-01-2019 18:00:00
405.04,460,460,510,600,15-01-2019 19:00:00
397.95,450,460,510,590,15-01-2019 20:00:00
391.83,450,450,500,560,15-01-2019 21:00:00
385.49,450,460,510,560,15-01-2019 22:00:00
376.16,430,460,500,550,15-01-2019 23:00:00
363.17,420,440,490,530,15-01-2019 00:00:00
369.27,410,430,460,520,16-01-2019 01:00:00
365.76,410,380,420,520,16-01-2019 02:00:00
365.02,390,380,400,450,16-01-2019 03:00:00
366.13,390,370,400,450,16-01-2019 04:00:00
366.58,390,370,400,520,16-01-2019 05:00:00
381.06,390,370,400,450,16-01-2019 06:00:00
394.20,410,430,440,530,16-01-2019 07:00:00
422.93,430,460,500,560,16-01-2019 08:00:00
443.38,460,460,510,570,16-01-2019 09:00:00
420.69,450,460,500,560,16-01-2019 10:00:00
414.64,450,460,500,550,16-01-2019 11:00:00
409.87,450,460,500,550,16-01-2019 12:00:00
404.12,450,460,500,540,16-01-2019 13:00:00
396.73,450,460,500,550,16-01-2019 14:00:00
399.64,430,450,490,550,16-01-2019 15:00:00
400.91,430,450,490,550,16-01-2019 16:00:00
409.20,450,460,500,550,16-01-2019 17:00:00
403.08,450,460,500,560,16-01-2019 18:00:00
393.08,450,460,510,560,16-01-2019 19:00:00
389.27,430,460,500,560,16-01-2019 20:00:00
383.23,430,440,490,530,16-01-2019 21:00:00
373.82,430,450,500,550,16-01-2019 22:00:00
346.28,420,440,490,530,16-01-2019 23:00:00
322.48,410,440,460,520,16-01-2019 00:00:00
234.67,410,380,420,510,17-01-2019 01:00:00
228.33,390,380,400,520,17-01-2019 02:00:00
272.74,390,380,400,520,17-01-2019 03:00:00
289.83,390,380,400,520,17-01-2019 04:00:00
350.74,390,380,400,520,17-01-2019 05:00:00
375.44,360,320,400,450,17-01-2019 06:00:00
393.66,410,390,420,530,17-01-2019 07:00:00
402.61,430,450,500,560,17-01-2019 08:00:00
406.20,460,460,510,560,17-01-2019 09:00:00
408.58,460,460,500,560,17-01-2019 10:00:00
409.03,450,470,500,550,17-01-2019 11:00:00
407.69,450,460,500,550,17-01-2019 12:00:00
406.27,430,450,490,560,17-01-2019 13:00:00
406.57,430,450,490,580,17-01-2019 14:00:00
410.53,430,450,490,560,17-01-2019 15:00:00
417.24,430,450,490,560,17-01-2019 16:00:00
428.66,450,460,500,560,17-01-2019 17:00:00
438.29,460,490,510,570,17-01-2019 18:00:00
410.97,470,370,420,590,17-01-2019 19:00:00
401.94,460,370,330,330,17-01-2019 20:00:00
395.97,410,370,330,330,17-01-2019 21:00:00
393.73,430,370,300,300,17-01-2019 22:00:00
382.09,430,370,330,330,17-01-2019 23:00:00
373.43,410,370,300,300,17-01-2019 00:00:00
381.89,410,370,330,300,18-01-2019 01:00:00
376.74,410,400,330,330,18-01-2019 02:00:00
374.13,410,420,330,330,18-01-2019 03:00:00
374.35,410,420,410,330,18-01-2019 04:00:00
378.09,390,410,420,330,18-01-2019 05:00:00
395.85,410,420,440,330,18-01-2019 06:00:00
417.58,410,430,460,330,18-01-2019 07:00:00
536.79,410,440,460,330,18-01-2019 08:00:00
560.00,420,450,470,330,18-01-2019 09:00:00
552.91,430,450,470,530,18-01-2019 10:00:00
526.34,430,450,490,530,18-01-2019 11:00:00
515.21,430,440,480,520,18-01-2019 12:00:00
502.30,430,440,470,510,18-01-2019 13:00:00
475.58,420,440,480,520,18-01-2019 14:00:00
491.40,420,430,480,530,18-01-2019 15:00:00
496.40,420,440,490,530,18-01-2019 16:00:00
502.67,420,440,490,530,18-01-2019 17:00:00
546.71,430,440,490,560,18-01-2019 18:00:00
550.15,430,440,470,560,18-01-2019 19:00:00
451.47,420,440,470,540,18-01-2019 20:00:00
432.65,410,420,440,460,18-01-2019 21:00:00
420.49,410,380,420,330,18-01-2019 22:00:00
413.10,390,380,400,510,18-01-2019 23:00:00
396.82,350,370,400,450,18-01-2019 00:00:00
401.29,350,320,340,430,19-01-2019 01:00:00
396.96,350,300,320,330,19-01-2019 02:00:00
398.68,340,300,320,300,19-01-2019 03:00:00
391.59,340,300,300,300,19-01-2019 04:00:00
390.02,330,300,300,300,19-01-2019 05:00:00
388.08,340,300,300,300,19-01-2019 06:00:00
386.06,340,300,300,300,19-01-2019 07:00:00
393.75,340,300,320,300,19-01-2019 08:00:00
407.93,360,320,330,430,19-01-2019 09:00:00
422.64,360,320,360,440,19-01-2019 10:00:00
448.77,360,330,400,440,19-01-2019 11:00:00
425.78,370,370,400,460,19-01-2019 12:00:00
412.49,370,370,400,460,19-01-2019 13:00:00
405.92,370,370,400,470,19-01-2019 14:00:00
401.89,390,380,400,510,19-01-2019 15:00:00
413.61,410,380,420,520,19-01-2019 16:00:00
458.47,410,420,420,530,19-01-2019 17:00:00
483.25,410,440,480,530,19-01-2019 18:00:00
468.17,410,440,440,540,19-01-2019 19:00:00
428.24,410,440,330,330,19-01-2019 20:00:00
407.64,410,420,330,330,19-01-2019 21:00:00
400.10,410,420,330,330,19-01-2019 22:00:00
394.13,410,370,330,300,19-01-2019 23:00:00
378.82,400,330,330,300,19-01-2019 00:00:00
380.73,400,330,330,330,20-01-2019 01:00:00
371.25,400,420,400,330,20-01-2019 02:00:00
373.27,400,420,330,330,20-01-2019 03:00:00
374.09,400,440,400,510,20-01-2019 04:00:00
379.61,410,440,400,500,20-01-2019 05:00:00
381.55,410,420,400,330,20-01-2019 06:00:00
380.66,430,450,420,330,20-01-2019 07:00:00
386.93,460,460,490,560,20-01-2019 08:00:00
389.24,450,460,330,360,20-01-2019 09:00:00
400.74,450,440,330,360,20-01-2019 10:00:00
406.71,450,460,500,580,20-01-2019 11:00:00
408.35,450,490,540,590,20-01-2019 12:00:00
404.40,450,510,540,590,20-01-2019 13:00:00
400.96,450,510,540,600,20-01-2019 14:00:00
403.42,450,510,540,600,20-01-2019 15:00:00
413.50,450,490,510,600,20-01-2019 16:00:00
433.14,450,410,500,600,20-01-2019 17:00:00
492.19,490,370,330,620,20-01-2019 18:00:00
505.92,470,290,330,420,20-01-2019 19:00:00
474.94,330,290,300,330,20-01-2019 20:00:00
446.57,280,290,300,330,20-01-2019 21:00:00
428.28,360,290,300,330,20-01-2019 22:00:00
425.60,360,290,300,300,20-01-2019 23:00:00
407.75,360,290,300,300,20-01-2019 00:00:00
410.14,390,330,300,300,21-01-2019 01:00:00
396.41,390,370,300,300,21-01-2019 02:00:00
388.94,390,370,300,300,21-01-2019 03:00:00
386.93,420,370,330,300,21-01-2019 04:00:00
393.50,420,410,440,300,21-01-2019 05:00:00
410.96,420,420,400,320,21-01-2019 06:00:00
487.71,430,430,470,330,21-01-2019 07:00:00
580.13,460,410,390,620,21-01-2019 08:00:00
641.64,460,370,330,620,21-01-2019 09:00:00
626.71,460,370,330,620,21-01-2019 10:00:00
584.16,460,370,500,620,21-01-2019 11:00:00
559.90,460,490,530,620,21-01-2019 12:00:00
527.42,460,490,530,600,21-01-2019 13:00:00
534.22,460,490,530,620,21-01-2019 14:00:00
524.89,460,490,530,620,21-01-2019 15:00:00
557.28,460,490,480,620,21-01-2019 16:00:00
605.29,460,490,470,570,21-01-2019 17:00:00
659.56,470,370,330,510,21-01-2019 18:00:00
659.71,460,330,330,510,21-01-2019 19:00:00
582.37,460,330,330,430,21-01-2019 20:00:00
513.61,460,290,330,330,21-01-2019 21:00:00
459.86,460,370,300,300,21-01-2019 22:00:00
432.54,420,370,300,300,21-01-2019 23:00:00
410.07,410,300,300,300,21-01-2019 00:00:00
407.91,400,300,300,300,22-01-2019 01:00:00
403.51,400,300,300,300,22-01-2019 02:00:00
399.55,400,330,300,300,22-01-2019 03:00:00
391.79,400,330,300,300,22-01-2019 04:00:00
398.96,410,330,300,300,22-01-2019 05:00:00
411.87,410,330,290,300,22-01-2019 06:00:00
465.32,430,330,300,300,22-01-2019 07:00:00
551.78,420,430,300,310,22-01-2019 08:00:00
598.96,460,450,330,330,22-01-2019 09:00:00
571.86,460,450,330,330,22-01-2019 10:00:00
553.87,460,460,500,590,22-01-2019 11:00:00
523.03,460,460,500,580,22-01-2019 12:00:00
463.38,460,460,500,510,22-01-2019 13:00:00
439.34,460,460,500,510,22-01-2019 14:00:00
445.62,460,480,500,330,22-01-2019 15:00:00
485.93,460,490,450,330,22-01-2019 16:00:00
524.15,470,490,330,330,22-01-2019 17:00:00
588.28,490,400,330,330,22-01-2019 18:00:00
553.42,480,370,300,300,22-01-2019 19:00:00
448.68,420,370,300,300,22-01-2019 20:00:00
425.09,360,330,300,300,22-01-2019 21:00:00
413.44,440,330,290,300,22-01-2019 22:00:00
412.32,430,330,290,300,22-01-2019 23:00:00
397.91,420,370,300,300,22-01-2019 00:00:00
397.22,430,370,300,300,23-01-2019 01:00:00
392.89,420,370,300,300,23-01-2019 02:00:00
389.31,420,370,330,320,23-01-2019 03:00:00
382.22,420,410,450,330,23-01-2019 04:00:00
388.79,420,440,470,560,23-01-2019 05:00:00
415.74,410,430,490,550,23-01-2019 06:00:00
466.14,430,430,510,590,23-01-2019 07:00:00
593.45,460,450,530,620,23-01-2019 08:00:00
659.90,470,450,530,620,23-01-2019 09:00:00
627.94,470,460,530,620,23-01-2019 10:00:00
637.27,460,460,530,620,23-01-2019 11:00:00
641.83,460,460,510,600,23-01-2019 12:00:00
579.78,460,460,510,570,23-01-2019 13:00:00
570.45,460,460,510,560,23-01-2019 14:00:00
623.69,460,460,510,560,23-01-2019 15:00:00
618.46,450,460,510,560,23-01-2019 16:00:00
619.13,450,460,510,560,23-01-2019 17:00:00
655.94,460,460,510,560,23-01-2019 18:00:00
634.88,460,400,510,520,23-01-2019 19:00:00
464.80,410,370,420,330,23-01-2019 20:00:00
433.51,430,370,330,330,23-01-2019 21:00:00
429.70,450,460,450,330,23-01-2019 22:00:00
424.33,430,410,330,320,23-01-2019 23:00:00
410.36,430,370,290,300,23-01-2019 00:00:00
417.97,420,370,290,300,24-01-2019 01:00:00
416.63,410,370,290,300,24-01-2019 02:00:00
414.91,410,370,290,300,24-01-2019 03:00:00
413.12,410,370,290,300,24-01-2019 04:00:00
416.63,410,440,330,300,24-01-2019 05:00:00
448.36,420,440,330,300,24-01-2019 06:00:00
567.30,430,450,330,300,24-01-2019 07:00:00
722.01,460,460,330,330,24-01-2019 08:00:00
817.21,470,410,330,330,24-01-2019 09:00:00
810.56,470,480,330,330,24-01-2019 10:00:00
767.26,470,490,510,620,24-01-2019 11:00:00
755.61,470,490,510,600,24-01-2019 12:00:00
716.56,470,490,510,590,24-01-2019 13:00:00
675.05,460,490,520,600,24-01-2019 14:00:00
654.81,460,490,530,620,24-01-2019 15:00:00
659.14,460,490,540,620,24-01-2019 16:00:00
709.39,460,490,530,620,24-01-2019 17:00:00
797.57,470,490,530,620,24-01-2019 18:00:00
748.82,460,490,500,620,24-01-2019 19:00:00
547.89,460,370,330,400,24-01-2019 20:00:00
450.60,450,370,330,370,24-01-2019 21:00:00
446.12,450,450,330,580,24-01-2019 22:00:00
436.42,430,430,330,330,24-01-2019 23:00:00
427.01,420,430,330,330,24-01-2019 00:00:00
427.95,410,370,300,310,25-01-2019 01:00:00
421.61,410,370,300,330,25-01-2019 02:00:00
417.72,410,370,330,300,25-01-2019 03:00:00
413.92,410,370,330,330,25-01-2019 04:00:00
